complaint_date,borough,total_complaints,high_severity_complaints,medium_severity_complaints,other_severity_complaints,weekend_complaints,total_complaints_ma7
2023-12-24,(Null),1,0,0,0,1,1.14
2024-12-26,(Null),1,0,0,0,0,4.0
2024-11-23,(Null),1,0,0,0,1,3.29
2024-05-26,(Null),1,0,0,0,1,2.14
2023-10-01,(Null),1,0,0,0,1,1.86
2023-07-28,(Null),1,0,0,0,0,3.57
2023-09-20,(Null),1,0,0,0,0,2.71
2023-10-31,(Null),1,0,0,0,0,2.86
2024-05-17,(Null),1,0,0,0,0,2.57
2023-06-12,(Null),1,0,0,0,0,2.14
2022-11-22,(Null),2,0,0,0,0,4.0
2023-01-05,(Null),2,0,0,0,0,2.43
2023-04-13,(Null),2,0,0,0,0,2.0
2023-02-03,(Null),2,0,0,0,0,2.86
2023-08-27,(Null),2,0,0,0,2,3.14
2024-06-23,(Null),2,0,0,0,2,3.57
2023-12-11,(Null),2,0,0,0,0,6.14
2024-09-14,(Null),2,0,0,0,2,4.0
2024-12-21,(Null),2,0,0,0,2,5.14
2023-03-23,(Null),2,0,0,0,0,2.57
2023-11-05,(Null),2,0,0,0,2,3.14
2024-05-27,(Null),2,0,0,0,0,2.0
2023-10-26,(Null),2,0,0,0,0,3.57
2023-09-05,(Null),2,0,0,0,0,2.86
2022-12-22,(Null),2,0,0,0,0,2.86
2023-04-11,(Null),2,0,0,0,0,2.14
2024-08-01,(Null),2,0,0,0,0,2.0
2023-03-26,(Null),2,0,0,0,2,2.14
2023-05-11,(Null),2,0,0,0,0,1.71
2024-09-04,(Null),2,0,0,0,0,2.43
2024-11-02,(Null),2,0,0,0,2,3.0
2023-05-19,(Null),2,0,0,0,0,2.57
2024-09-27,(Null),2,0,0,0,0,2.57
2024-04-24,(Null),2,0,0,0,0,1.14
2023-05-29,(Null),2,0,0,0,0,2.57
2024-09-23,(Null),2,0,0,0,0,3.0
2023-06-17,(Null),2,0,0,0,2,2.57
2024-07-20,(Null),2,0,0,0,2,3.29
2023-06-29,(Null),2,0,0,0,0,3.71
2022-12-10,(Null),2,0,0,0,2,3.71
2023-09-13,(Null),2,0,0,0,0,3.14
2022-12-13,(Null),2,0,0,0,0,3.71
2023-03-05,(Null),2,0,0,0,2,2.57
2024-08-04,(Null),2,0,0,0,2,2.14
2023-11-01,(Null),2,0,0,0,0,2.29
2023-11-11,(Null),2,0,0,0,2,3.43
2023-11-15,(Null),2,0,0,0,0,3.0
2024-09-19,(Null),2,0,0,0,0,3.0
2023-05-07,(Null),2,0,0,0,2,1.86
2023-04-29,(Null),2,0,0,0,2,2.57
2023-09-18,(Null),2,0,0,0,0,3.43
2022-12-15,(Null),2,0,0,0,0,2.71
2023-05-15,(Null),2,0,0,0,0,2.14
2023-02-06,(Null),2,0,0,0,0,3.0
2023-12-22,(Null),2,0,0,0,0,1.29
2024-05-04,(Null),2,0,0,0,2,1.86
2024-05-02,(Null),2,0,0,0,0,1.71
2022-12-19,(Null),2,0,0,0,0,2.43
2022-12-03,(Null),2,0,0,0,2,4.0
2023-01-16,(Null),2,0,0,0,0,3.14
2024-08-20,(Null),2,0,0,0,0,3.57
2023-02-26,(Null),2,0,0,0,2,2.29
2024-08-05,(Null),2,0,0,0,0,2.29
2023-05-25,(Null),2,0,0,0,0,2.0
2022-12-24,(Null),2,0,0,0,2,3.0
2023-03-28,(Null),2,0,0,0,0,2.14
2024-08-22,(Null),2,0,0,0,0,3.0
2023-05-01,(Null),2,0,0,0,0,2.29
2023-07-04,(Null),2,0,0,0,0,3.71
2023-08-30,(Null),2,0,0,0,0,3.0
2023-01-15,(Null),2,0,0,0,2,3.14
2023-03-10,(Null),2,0,0,0,0,2.71
2024-11-26,(Null),2,0,0,0,0,2.57
2024-10-20,(Null),2,0,0,0,2,4.14
2024-08-19,(Null),2,0,0,0,0,3.43
2022-12-02,(Null),2,0,0,0,0,3.86
2024-07-14,(Null),2,0,0,0,2,4.43
2023-06-22,(Null),2,0,0,0,0,3.0
2023-08-07,(Null),2,0,0,0,0,3.29
2023-08-18,(Null),2,0,0,0,0,3.71
2024-08-02,(Null),2,0,0,0,0,1.86
2024-05-07,(Null),2,0,0,0,0,1.71
2024-08-08,(Null),2,0,0,0,0,2.86
2024-05-24,(Null),2,0,0,0,0,2.0
