borough,complaint_dayofweek,complaint_hour,complaint_count,pct_of_all_high_severity
(Null),7,4,7,0.0
(Null),7,1,7,0.0
(Null),7,19,8,0.0
(Null),7,23,9,0.0
(Null),7,22,10,0.0
(Null),7,12,10,0.0
(Null),7,18,10,0.0
(Null),7,0,11,0.0
(Null),7,2,15,0.0
Staten Island,7,6,173,0.01
Staten Island,7,7,215,0.01
Staten Island,7,5,245,0.01
Staten Island,7,4,371,0.01
Staten Island,7,8,397,0.01
Staten Island,7,3,439,0.01
Staten Island,7,9,443,0.01
Staten Island,7,11,449,0.02
Staten Island,7,10,519,0.02
Staten Island,7,14,546,0.02
Staten Island,7,13,557,0.02
Staten Island,7,2,558,0.02
Staten Island,7,16,622,0.02
Staten Island,7,1,623,0.02
Staten Island,7,18,685,0.02
Staten Island,7,17,697,0.02
Staten Island,7,22,703,0.02
Staten Island,7,21,705,0.02
Staten Island,7,15,762,0.03
Staten Island,7,19,764,0.03
Staten Island,7,23,768,0.03
Staten Island,7,20,790,0.03
Staten Island,7,12,826,0.03
Staten Island,7,0,892,0.03
Bronx,7,7,1479,0.05
Manhattan,7,7,1559,0.05
Manhattan,7,6,1589,0.05
Queens,7,7,1608,0.05
Bronx,7,6,1645,0.06
Queens,7,6,1653,0.06
Bronx,7,5,2000,0.07
Bronx,7,8,2002,0.07
Brooklyn,7,7,2189,0.07
Manhattan,7,8,2216,0.07
Manhattan,7,5,2245,0.08
Queens,7,5,2286,0.08
Bronx,7,9,2307,0.08
Queens,7,8,2366,0.08
Brooklyn,7,6,2410,0.08
Bronx,7,10,2546,0.09
Bronx,7,11,2685,0.09
Queens,7,11,2846,0.1
Queens,7,9,2854,0.1
Queens,7,10,2887,0.1
Manhattan,7,9,2900,0.1
Brooklyn,7,5,2903,0.1
Bronx,7,4,3061,0.1
Bronx,7,13,3135,0.11
Brooklyn,7,8,3204,0.11
Manhattan,7,10,3301,0.11
Bronx,7,3,3360,0.11
Queens,7,13,3375,0.11
Manhattan,7,11,3456,0.12
Bronx,7,14,3547,0.12
Queens,7,4,3581,0.12
Queens,7,14,3628,0.12
Bronx,7,12,3690,0.12
Bronx,7,2,3738,0.13
Queens,7,3,3751,0.13
Brooklyn,7,9,3792,0.13
Bronx,7,16,3925,0.13
Bronx,7,15,3932,0.13
Manhattan,7,4,3963,0.13
Queens,7,2,4019,0.14
Queens,7,16,4033,0.14
Brooklyn,7,10,4107,0.14
Queens,7,15,4160,0.14
Bronx,7,1,4191,0.14
Bronx,7,19,4200,0.14
Bronx,7,18,4207,0.14
Bronx,7,17,4208,0.14
Brooklyn,7,11,4212,0.14
Bronx,7,22,4333,0.15
Brooklyn,7,4,4351,0.15
Queens,7,1,4353,0.15
Queens,7,17,4380,0.15
Bronx,7,21,4391,0.15
Bronx,7,23,4520,0.15
Bronx,7,20,4529,0.15
Queens,7,19,4564,0.15
Queens,7,22,4567,0.15
Manhattan,7,13,4578,0.15
Queens,7,18,4593,0.15
Queens,7,21,4597,0.15
Queens,7,23,4726,0.16
Queens,7,20,4747,0.16
Manhattan,7,22,4831,0.16
Brooklyn,7,13,4833,0.16
Manhattan,7,21,4841,0.16
Queens,7,12,4893,0.16
Brooklyn,7,3,4939,0.17
Manhattan,7,3,4950,0.17
Manhattan,7,14,4969,0.17
Manhattan,7,20,5127,0.17
Bronx,7,0,5248,0.18
Manhattan,7,12,5338,0.18
Manhattan,7,23,5343,0.18
Brooklyn,7,14,5353,0.18
Manhattan,7,19,5508,0.19
Brooklyn,7,2,5508,0.19
Manhattan,7,2,5573,0.19
Manhattan,7,15,5717,0.19
Brooklyn,7,15,5751,0.19
Manhattan,7,16,5776,0.19
Queens,7,0,5799,0.2
Manhattan,7,18,5806,0.2
Manhattan,7,17,5861,0.2
Brooklyn,7,16,5892,0.2
Manhattan,7,1,5945,0.2
Brooklyn,7,17,6146,0.21
Brooklyn,7,12,6242,0.21
Brooklyn,7,1,6360,0.21
Brooklyn,7,18,6361,0.21
Brooklyn,7,19,6391,0.21
Brooklyn,7,21,6564,0.22
Manhattan,7,0,6840,0.23
Brooklyn,7,20,6890,0.23
Brooklyn,7,23,6900,0.23
Brooklyn,7,22,6981,0.23
Brooklyn,7,0,8467,0.28
